timestamp,Temperature
20220118T2200,1.2102454
20220118T2300,1.3902454
20220119T0000,0.9002454
20220119T0100,0.9302454
20220119T0200,1.2102454
20220119T0300,0.5902454
20220119T0400,0.3202454
20220119T0500,-0.029754579
20220119T0600,0.2802454
20220119T0700,0.020245433
20220119T0800,0.2102454
20220119T0900,-0.04975462
20220119T1000,-0.1397546
20220119T1100,1.2902454
20220119T1200,2.3202453
20220119T1300,2.8302455
20220119T1400,3.3102455
20220119T1500,3.6002455
20220119T1600,3.4302454
20220119T1700,3.3702455
20220119T1800,3.3502455
20220119T1900,3.3502455
20220119T2000,3.3102455
20220119T2100,3.0502453
20220119T2200,2.8902454
20220119T2300,2.8502455
20220120T0000,2.6902456
20220120T0100,2.6102452
20220120T0200,2.7502456
20220120T0300,2.5702453
20220120T0400,2.4202454
20220120T0500,2.1802454
20220120T0600,2.0702453
20220120T0700,2.0602455
20220120T0800,1.9202454
20220120T0900,1.9602454
20220120T1000,2.0502453
20220120T1100,2.6002455
20220120T1200,3.1202455
20220120T1300,4.2402453
20220120T1400,4.860245
20220120T1500,5.2002454
20220120T1600,5.1202455
20220120T1700,4.5702453
20220120T1800,3.6302452
20220120T1900,3.0302453
20220120T2000,2.8502455
20220120T2100,1.9302454
20220120T2200,1.6202455
20220120T2300,1.0102454
20220121T0000,-0.1897546
20220121T0100,-0.1997546
20220121T0200,0.7402454
20220121T0300,1.0102454
20220121T0400,0.030245423
20220121T0500,0.23024541
20220121T0600,0.34024543
20220121T0700,-0.27975458
20220121T0800,-0.5897546
20220121T0900,-0.88975465
20220121T1000,-0.5497546
20220121T1100,0.7202454
20220121T1200,1.8502454
20220121T1300,2.5702453
20220121T1400,3.1402454
20220121T1500,3.5102453
20220121T1600,3.6202455
20220121T1700,3.4902453
20220121T1800,2.4502454
20220121T1900,1.5702454
20220121T2000,1.6002454
20220121T2100,1.0502454
20220121T2200,0.9102454
20220121T2300,0.6802454
20220122T0000,0.52024543
20220122T0100,0.7202454
20220122T0200,0.52024543
20220122T0300,-0.1897546
20220122T0400,-0.3097546
20220122T0500,-0.39975458
20220122T0600,-0.34975457
20220122T0700,-0.40975457
20220122T0800,-0.15975457
20220122T0900,0.3002454
20220122T1000,0.4202454
20220122T1100,1.2302454
20220122T1200,2.3502455
20220122T1300,3.5202456
20220122T1400,4.5302453
20220122T1500,5.250245
20220122T1600,5.440245
20220122T1700,5.5502453
20220122T1800,4.960245
20220122T1900,3.4402456
20220122T2000,1.0402454
20220122T2100,0.4902454
20220122T2200,-0.019754589
20220122T2300,-0.98975456
20220123T0000,-0.5797546
20220123T0100,-0.8497546
20220123T0200,-0.8097546
20220123T0300,-0.9597546
20220123T0400,-1.1597546
20220123T0500,-1.2597545
20220123T0600,-1.2897546
20220123T0700,-1.3397546
20220123T0800,-0.7097546
20220123T0900,-0.76975465
20220123T1000,0.2402454
20220123T1100,1.0502454
20220123T1200,2.5502453
20220123T1300,3.7102456
20220123T1400,4.710245
20220123T1500,5.5902452
20220123T1600,5.9902453
20220123T1700,5.6402454
20220123T1800,3.4502454
20220123T1900,2.4002454
20220123T2000,1.7402455
20220123T2100,0.9102454
20220123T2200,0.00024539232
20220123T2300,-0.2697546
20220124T0000,-0.8497546
20220124T0100,-1.0497546
20220124T0200,-1.4297546
20220124T0300,-1.6097547
20220124T0400,-1.4197546
20220124T0500,-1.6997546
20220124T0600,-1.8697547
20220124T0700,-1.9297546
20220124T0800,-1.8897547
20220124T0900,-1.6297547
20220124T1000,-0.73975456
20220124T1100,0.4302454
20220124T1200,1.5802454
20220124T1300,2.5802455
20220124T1400,3.2902455
20220124T1500,4.0102453
